Mean,Standart_Deviation,Energy,Entropy,Skewness,Class
120.345945479,77.6446146623,0.4719448842,0.4719448842,4444423341.9,1
101.270504228,83.2375013536,0.3971392323,0.3971392323,104156921034,1
123.213002413,76.2242871811,0.4831882448,0.4831882448,10286569069.8,0
122.118309013,76.3493802339,0.4788953295,0.4788953295,7771065098.39,0
122.454919622,75.7564093018,0.4802153711,0.4802153711,7868177416.85,1
118.812876121,78.3186645484,0.4659328475,0.4659328475,9359993083.74,0
115.906723366,79.4165135437,0.4545361701,0.4545361701,11347250796,0
119.536112018,78.2184230209,0.4687690667,0.4687690667,12219875073.6,0
127.012309487,73.8717415256,0.4980874882,0.4980874882,5369359304.4,0
104.039407977,83.2816867057,0.4079976783,0.4079976783,84354220574.2,1
108.361483999,82.1609854803,0.4249469961,0.4249469961,58609736869.7,0
113.112057704,80.5648580837,0.4435766969,0.4435766969,27178559168.3,1
119.532786275,78.1848699056,0.4687560246,0.4687560246,8177533621.22,1
125.08366594,75.1556460573,0.4905241802,0.4905241802,6662116519.07,0
114.670711117,80.0870814225,0.4496890632,0.4496890632,23914209512.3,1
118.710280991,78.5070079024,0.4655305137,0.4655305137,12218560880.4,0
125.017780135,74.4515990568,0.4902658045,0.4902658045,5282515855.25,1
111.919257446,80.5855055564,0.4388990488,0.4388990488,8954721205.86,0
125.230945271,75.1076769992,0.4911017462,0.4911017462,7275583007,1
128.420009129,73.2199454074,0.5036078789,0.5036078789,4017859927.17,0
124.641890971,75.7047297059,0.4887917293,0.4887917293,-262402402.577,1
119.877596009,78.0089248341,0.4701082196,0.4701082196,5457704710.09,0
128.364602015,73.4293347943,0.5033905961,0.5033905961,2278529536.31,2
128.487854235,73.0830954514,0.5038739382,0.5038739382,5959258653.54,0
108.221730571,82.4179601238,0.4243989434,0.4243989434,32850871301.7,1
128.566892255,72.8760553328,0.5041838912,0.5041838912,7346085619.34,0
128.544644855,72.9401194011,0.5040966465,0.5040966465,8035527406.69,0
129.129233091,72.6513561329,0.5063891494,0.5063891494,4998250764.69,2
129.553621017,72.3645422655,0.5080534158,0.5080534158,5810431978.65,0
105.876949543,82.842940529,0.4152037237,0.4152037237,52004959181.6,1
115.858473589,79.8165811965,0.4543469553,0.4543469553,20974683608.4,0
115.267335364,79.8906246974,0.4520287661,0.4520287661,9919344868.44,1
103.481125741,83.2984607657,0.4058083362,0.4058083362,33360705721.8,0
109.510449304,82.1970193148,0.4294527424,0.4294527424,44899373572.3,0
116.630604551,79.6246489876,0.4573749198,0.4573749198,18348091812.5,0
115.718699794,79.9327651079,0.4537988227,0.4537988227,17029176770.7,0
115.597345623,80.1647215567,0.453322924,0.453322924,25134689271.2,0
114.909932123,80.880472483,0.4506271848,0.4506271848,31560869558.2,0
127.669908069,74.5479658585,0.5006663062,0.5006663062,1753617709.39,0
128.938981717,73.7575524421,0.5056430656,0.5056430656,-5545077979.09,0
111.943157376,81.4174367775,0.438992774,0.438992774,72832933563.2,0
116.544512812,79.9393423256,0.4570373051,0.4570373051,26522147885.1,0
119.029894832,78.2905473395,0.4667839013,0.4667839013,8699178714.71,0
104.944421756,82.8735455062,0.411546752,0.411546752,59669701441.5,0
120.141030986,78.711308922,0.471141298,0.471141298,4891710878.64,0
119.619972405,79.2294355294,0.469097931,0.469097931,6084615465.17,0
110.280064402,80.9776271297,0.4324708408,0.4324708408,29873642900.1,0
116.409967747,80.3885493327,0.4565096774,0.4565096774,27110851916.2,0
114.318513521,81.1693315585,0.4483078962,0.4483078962,48293226647.2,0
127.988628742,74.1186796185,0.5019161911,0.5019161911,6788968846.81,0
128.991797571,73.4620531949,0.5058501866,0.5058501866,4221161055.25,0
106.473687608,82.5854238366,0.417543873,0.417543873,80659334509.3,0
105.298305374,82.8238294772,0.4129345309,0.4129345309,88106383330.6,0
127.149998873,73.8679515834,0.4986274466,0.4986274466,12309481917,0
127.565829617,73.6132700866,0.5002581554,0.5002581554,3360124458.12,0
105.181341229,83.1034495113,0.412475848,0.412475848,102974638715,0
105.874197253,82.995698145,0.4151929304,0.4151929304,85014524447,0
99.4260361826,84.1754546739,0.3899060242,0.3899060242,62195497042.5,2
122.695151084,77.665762578,0.4811574552,0.4811574552,-6083694313.45,1
121.808449978,77.8406715047,0.477680196,0.477680196,6995330952.22,0
128.53045528,73.0394006626,0.5040410011,0.5040410011,9804769086.52,0
128.905086822,73.2442320607,0.5055101444,0.5055101444,7004953301.64,0
127.404647992,73.8742477629,0.4996260706,0.4996260706,11571342256.7,1
129.254199748,72.5235631801,0.5068792147,0.5068792147,9582577064.3,0
117.728545241,79.330308802,0.4616805696,0.4616805696,9295859430.15,0
111.279376171,81.637750097,0.4363897105,0.4363897105,28102530873.4,0
111.11000576,81.5474332515,0.4357255128,0.4357255128,37974399514.6,0
112.806594292,81.2527953884,0.4423788011,0.4423788011,27781205327.2,0
123.91552892,75.1635268807,0.4859432507,0.4859432507,5137053308.37,1
118.387058143,78.6623404039,0.4642629731,0.4642629731,8714032798.4,0
112.05237441,81.0153404665,0.4394210761,0.4394210761,21571202871.7,0
109.810307811,81.799751193,0.4306286581,0.4306286581,42643740378.3,2
110.356529576,81.8566769382,0.4327707042,0.4327707042,40166408104.5,0
97.0333333333,84.5320175483,0.3805228758,0.3805228758,36987743109.6,0
